Name of kdrama,Year of relase,Watchtime,Movie Rating,Genre,Votes
Ultimate Weapon Alice,2022,,7.5,"Action, Drama, Romance            ",20
Lost,2021,,8.3,Drama            ,311
Homemade love story,2020,,6.3,"Comedy, Drama, Romance            ",6
He is Psychometric,2019,65,7.7,"Fantasy, Mystery, Romance            ",1655
Welcome to Wedding Hell,2022,35,6,"Drama, Romance            ",145
The Queen's Flower,2015,,8.3,"Comedy, Drama, Romance            ",22
Love with Flaws,2019,30,7.2,"Comedy, Romance            ",426
Hometown,2021,,6.3,"Horror, Mystery, Thriller            ",196
Bossam: Steal the Fate,2021,65,7.6,"Drama, History, Romance            ",199
To All the Guys Who Loved Me,2020,32,6.3,"Comedy, Fantasy, Romance            ",228
Secret Love Affair,2014,60,7.9,"Drama, Music, Romance            ",545
Bad Girlfriend,2022,,5.7,"Drama, Romance            ",10
Beyblade Burst,2016,24,6.5,"Animation, Action, Adventure            ",597
The Sound of Your Heart,2016,,8.2,Comedy            ,1156
Secret Royal Inspector Joy,2021,,7.2,"Comedy, Drama, History            ",481
Bridal Mask,2012,60,8.3,"Action, History, Romance            ",663
Watcher,2019,65,7.8,"Crime, Drama, Thriller            ",416
Rooftop Prince,2012,65,7.8,"Comedy, Fantasy, Romance            ",2629
Don't Dare to Dream,2016,,7.8,"Comedy, Romance            ",1477
The King 2 Hearts,2012,65,7.6,"Action, Drama, Romance            ",1347
Life,2018,60,7.5,"Drama, Thriller            ",744
"Cheat on Me, If You Can",2020,65,7.5,"Comedy, Drama, Mystery            ",190
Green Mothers Club,2022,60,6.8,Drama            ,168
Monthly Magazine Home,2021,70,7.2,"Comedy, Romance            ",310
Queen: Love and War,2019,,7.6,"Drama, Fantasy, Romance            ",155
The Worst Evil,2022,,,Action            ,
Hyena,2020,60,7.7,"Drama, Romance            ",813
I Wanna Hear Your Song,2019,35,7.1,"Comedy, Drama, Music            ",169
Reply 1994,2013,75,7.8,"Comedy, Drama, Romance            ",1383
"Hyde, Jekyll, Me",2015,,7,"Comedy, Drama, Romance            ",1200
Oh My Baby,2020,60,7.1,"Drama, Romance            ",242
Nae ireumeun Kim Sam-soon,2005,960,8.1,"Comedy, Drama, Romance            ",1830
So Not Worth It,2021,35,7,"Comedy, Drama            ",1123
Entourage,2016,,5.4,"Comedy, Drama            ",150
Modooui Geojitmal,2019,60,7,"Drama, Mystery, Thriller            ",390
The Great Jang-Geum,2003,60,8.5,"Biography, Drama, History            ",3759
Dong Yi,2010,60,8.1,"Adventure, Drama, History            ",1674
Peurodyusa,2015,85,7.3,"Comedy, Drama, Romance            ",1406
"At A Distance, Spring Is Green",2021,65,8,"Drama, Romance            ",670
Come and Hug Me,2018,35,7.8,"Crime, Drama, Mystery            ",1120
Blood,2015,65,6.7,"Drama, Romance, Thriller            ",843
The Light in Your Eyes,2019,60,7.9,"Comedy, Drama, Fantasy            ",739
The Flower in Prison,2016,65,7.4,"Drama, History            ",200
Welcome,2020,35,7.1,"Comedy, Fantasy, Romance            ",452
I Have a Lover,2015,75,8.1,"Drama, Romance            ",138
Angry Mom,2015,70,7.5,"Comedy, Drama            ",530
The Haunted House: The Secret of the 'Ghost Ball',2016,26,8.3,"Animation, Adventure, Comedy            ",88
SF8,2020,60,6.2,"Action, Comedy, Drama            ",147
Goong,2006,60,7.7,"Comedy, Romance            ",2670
